dim1,dim2,label
-50.016724,-24.865528,1
22.367298,42.554188,1
5.998834,23.629148,1
21.470905,3.1668823,1
40.924324,34.291,1
56.43851,-48.873985,1
-60.985233,-25.883936,1
48.388336,8.193749,1
18.717705,-26.992266,1
15.882259,59.29763,1
43.476227,-9.637389,1
68.111,65.31544,1
47.814804,-62.316067,1
-45.434555,-12.87514,1
12.600813,11.822654,1
11.948905,-36.82261,1
2.8097072,61.770363,1
61.293514,13.160524,1
-8.715039,28.926895,1
41.193016,76.94794,1
13.460539,-67.7893,1
-57.29022,-20.742613,1
49.362484,8.318453,1
30.069756,2.3260405,1
4.461206,45.190502,1
59.17404,18.34865,1
21.538465,88.18324,1
33.204823,-78.69267,1
-55.905827,-14.450781,1
11.390429,11.808493,1
32.46669,2.3689828,1
